user_id,content_id,action,timestamp,device,region,session_id
112,1008,forward,2024-03-11 15:29:56,mobile,EU,s2kknk
149,1001,play,2024-03-11 23:48:57,mobile,APAC,0gxh38
125,1005,skip,2024-03-11 21:48:44,mobile,US,ehr0f9
129,1010,forward,2024-03-11 02:16:09,mobile,US,c1x1yo
187,1007,skip,2024-03-11 20:28:38,tablet,EU,cbksdq
139,1007,pause,2024-03-11 21:47:04,desktop,US,elzgch
171,1006,forward,2024-03-11 20:21:07,mobile,US,y6mzo6
105,1007,forward,2024-03-11 06:36:03,tablet,APAC,shlxrv
174,1005,skip,2024-03-11 16:25:50,desktop,US,cfe9y5
144,1009,pause,2024-03-11 03:59:35,mobile,EU,fg37qu
142,1007,play,2024-03-11 19:44:24,desktop,EU,6lhgl1
192,1003,play,2024-03-11 12:38:04,desktop,APAC,liam9t
149,1007,pause,2024-03-11 16:22:56,mobile,US,0gxh38
133,1003,skip,2024-03-11 09:45:53,tablet,EU,trbw40
139,1010,skip,2024-03-11 10:16:58,tablet,APAC,elzgch
157,1007,forward,2024-03-11 18:39:44,desktop,EU,oeklg5
197,1004,forward,2024-03-11 09:57:14,desktop,US,es3ovg
153,1004,forward,2024-03-11 19:34:52,tablet,EU,5mc6kr
165,1000,skip,2024-03-11 12:01:19,desktop,APAC,zkznck
124,1008,play,2024-03-11 10:57:19,mobile,APAC,alqiyd
161,1004,forward,2024-03-11 13:03:32,tablet,EU,dkl7rn
183,1006,forward,2024-03-11 01:57:57,mobile,US,z0j7n4
106,1009,play,2024-03-11 13:30:53,tablet,EU,t4tjq0
200,1003,skip,2024-03-11 09:59:14,desktop,APAC,e6wfpb
160,1008,play,2024-03-11 15:09:29,mobile,US,gzuhpw
157,1002,forward,2024-03-11 00:40:23,mobile,US,oeklg5
169,1007,forward,2024-03-11 23:12:14,mobile,US,dtc6a9
110,1006,pause,2024-03-11 22:21:16,mobile,US,uv5s8l
