user_id,content_id,action,timestamp,device,region,session_id
117,1003,skip,2024-03-15 22:11:53,tablet,US,en9apm
134,1004,play,2024-03-15 07:25:43,tablet,EU,tg9d4m
197,1006,pause,2024-03-15 05:15:53,mobile,EU,411uwa
196,1008,pause,2024-03-15 17:42:13,tablet,EU,ef2fco
108,1006,forward,2024-03-15 11:43:30,tablet,EU,mn3gi4
172,1004,play,2024-03-15 17:08:54,tablet,EU,oapsyv
168,1001,pause,2024-03-15 00:46:50,tablet,EU,cdlasq
195,1004,skip,2024-03-15 22:42:22,mobile,APAC,jtm41p
131,1010,play,2024-03-15 06:11:44,tablet,US,292bxs
110,1006,forward,2024-03-15 22:22:46,tablet,US,mtdb14
188,1010,forward,2024-03-15 12:11:35,tablet,APAC,0o7dzf
138,1008,forward,2024-03-15 03:47:19,desktop,US,0fjliz
128,1001,skip,2024-03-15 14:13:10,tablet,US,9638lp
153,1006,skip,2024-03-15 12:48:43,tablet,EU,f3p5u8
172,1002,forward,2024-03-15 06:41:22,desktop,APAC,08pt68
170,1000,pause,2024-03-15 10:48:15,tablet,APAC,mf0zi0
164,1000,pause,2024-03-15 14:56:49,tablet,APAC,hepo4h
168,1002,forward,2024-03-15 21:28:11,mobile,EU,cdlasq
131,1000,play,2024-03-15 13:17:54,tablet,APAC,292bxs
109,1005,pause,2024-03-15 06:39:30,desktop,US,yxr73c
163,1005,play,2024-03-15 22:06:50,tablet,APAC,u9fbx3
173,1002,skip,2024-03-15 21:12:12,mobile,APAC,o4b543
144,1008,skip,2024-03-15 05:31:39,tablet,APAC,m0y5sg
112,1004,skip,2024-03-15 22:40:25,desktop,US,poe9e0
182,1000,pause,2024-03-15 06:49:36,mobile,EU,0ix3gb
181,1002,pause,2024-03-15 01:28:18,mobile,US,1y3s3v
139,1006,play,2024-03-15 03:46:09,desktop,US,4lhmta
143,1002,play,2024-03-15 05:31:13,desktop,APAC,ytj7bu
174,1000,skip,2024-03-15 16:51:23,mobile,EU,yx1wyc
