user_id,content_id,action,timestamp,device,region,session_id
136,1007,pause,2024-03-24 19:37:48,desktop,US,77b4w8
180,1004,skip,2024-03-24 10:24:44,desktop,US,2n8mqh
136,1000,skip,2024-03-24 05:36:56,tablet,APAC,3ur3hh
122,1003,forward,2024-03-24 00:40:41,tablet,US,f4d5su
148,1001,skip,2024-03-24 18:31:33,desktop,EU,vnrp4n
182,1007,play,2024-03-24 01:39:28,desktop,EU,p2d1r5
119,1000,skip,2024-03-24 23:10:14,mobile,US,qqa0ry
112,1001,skip,2024-03-24 15:00:41,desktop,US,w0wx5w
124,1009,pause,2024-03-24 17:10:04,mobile,US,k0o84k
187,1005,pause,2024-03-24 17:00:57,tablet,US,jftb8c
194,1009,pause,2024-03-24 04:46:15,tablet,US,74pqhh
104,1005,play,2024-03-24 18:05:00,tablet,EU,ww1pmh
125,1006,forward,2024-03-24 04:53:01,desktop,APAC,rymjm9
164,1006,skip,2024-03-24 16:09:03,mobile,US,bdr0kl
144,1007,pause,2024-03-24 23:04:11,mobile,APAC,aczb3u
113,1010,forward,2024-03-24 00:54:24,mobile,US,9rwh02
117,1007,pause,2024-03-24 06:08:17,tablet,APAC,tgi8mu
172,1009,play,2024-03-24 19:03:01,mobile,APAC,xlwzox
101,1001,pause,2024-03-24 05:51:37,tablet,APAC,mseyih
155,1004,skip,2024-03-24 07:35:23,desktop,US,arbxft
175,1002,pause,2024-03-24 07:22:17,mobile,APAC,8m6qy5
164,1009,skip,2024-03-24 10:41:23,mobile,APAC,bdr0kl
113,1004,pause,2024-03-24 04:06:00,mobile,APAC,q0u9mz
178,1001,play,2024-03-24 18:43:48,desktop,US,0ivw1d
114,1000,play,2024-03-24 09:31:14,desktop,APAC,g18f34
102,1005,play,2024-03-24 11:26:09,mobile,US,t9yjha
112,1003,play,2024-03-24 04:39:29,desktop,APAC,w0wx5w
147,1001,forward,2024-03-24 23:40:43,desktop,US,y2xgon
107,1001,pause,2024-03-24 20:22:44,mobile,EU,vy1aks
111,1002,play,2024-03-24 23:42:57,mobile,EU,860k7a
