user_id,content_id,action,timestamp,device,region,session_id
182,1000,play,2024-03-01 17:37:21,tablet,EU,w44j17
169,1005,play,2024-03-01 06:01:35,mobile,US,b118t7
121,1001,play,2024-03-01 11:35:53,tablet,EU,0qbgbi
139,1002,forward,2024-03-01 09:51:08,desktop,US,hlyc6i
157,1005,pause,2024-03-01 05:18:36,desktop,US,r7p821
126,1007,skip,2024-03-01 07:57:04,tablet,APAC,3szcjr
102,1001,skip,2024-03-01 14:24:57,desktop,APAC,9j472h
153,1004,forward,2024-03-01 17:04:32,mobile,APAC,rqkxto
121,1005,skip,2024-03-01 16:09:13,tablet,US,0qbgbi
161,1004,play,2024-03-01 09:24:10,desktop,APAC,vfv7wn
116,1009,forward,2024-03-01 10:26:21,tablet,US,azik5n
173,1001,play,2024-03-01 23:41:14,mobile,US,gbnlsn
195,1002,pause,2024-03-01 07:37:17,mobile,US,huzywr
200,1003,play,2024-03-01 16:28:49,tablet,APAC,u7iqz3
189,1004,pause,2024-03-01 11:24:40,mobile,APAC,bilfmn
198,1004,play,2024-03-01 20:53:18,tablet,US,1attwf
188,1001,play,2024-03-01 08:21:55,tablet,EU,n7qy6y
198,1004,forward,2024-03-01 18:12:01,desktop,US,1attwf
119,1010,skip,2024-03-01 04:32:55,mobile,APAC,327o4v
127,1004,skip,2024-03-01 13:34:57,mobile,APAC,iyg7hu
101,1008,pause,2024-03-01 01:56:16,tablet,EU,gm8vgl
103,1007,forward,2024-03-01 14:18:25,mobile,APAC,o0qzse
171,1007,skip,2024-03-01 14:11:44,mobile,APAC,9nxxhd
127,1010,skip,2024-03-01 19:23:45,mobile,APAC,iyg7hu
188,1001,forward,2024-03-01 03:59:29,desktop,APAC,n7qy6y
163,1008,play,2024-03-01 17:54:45,tablet,US,qq2h8j
189,1005,play,2024-03-01 02:31:31,mobile,US,bilfmn
119,1000,skip,2024-03-01 22:41:10,tablet,US,327o4v
176,1009,play,2024-03-02 14:29:41,mobile,US,4do99m
146,1007,pause,2024-03-02 13:59:24,mobile,US,6z1jjr
123,1009,pause,2024-03-02 10:23:07,desktop,EU,u6t61x
192,1006,play,2024-03-02 15:35:14,desktop,EU,ghb6zt
109,1003,pause,2024-03-02 19:40:22,mobile,US,qbcohm
113,1002,skip,2024-03-02 23:03:51,mobile,US,uzkhit
174,1004,pause,2024-03-02 19:19:45,desktop,EU,nb8kfe
166,1008,play,2024-03-02 18:33:43,desktop,APAC,gpn8b6
130,1010,skip,2024-03-02 02:19:03,tablet,US,kax522
147,1006,play,2024-03-02 20:23:20,tablet,APAC,a1amo0
131,1009,play,2024-03-02 13:45:01,desktop,US,czln0e
177,1007,pause,2024-03-02 02:50:38,desktop,EU,t9yxeh
136,1009,pause,2024-03-02 23:24:30,desktop,US,bfn6wa
176,1000,skip,2024-03-02 06:24:46,mobile,APAC,vv945h
155,1002,pause,2024-03-02 03:50:28,desktop,APAC,eok6y4
173,1000,skip,2024-03-02 02:54:11,desktop,APAC,df4856
176,1005,play,2024-03-02 06:08:13,mobile,APAC,vv945h
145,1009,pause,2024-03-02 19:38:44,desktop,EU,3g1909
158,1001,skip,2024-03-02 08:45:13,mobile,EU,vtf8ym
146,1007,pause,2024-03-02 19:22:59,mobile,EU,6z1jjr
170,1004,play,2024-03-02 19:12:16,tablet,APAC,y4iihu
147,1005,skip,2024-03-02 22:10:24,desktop,APAC,a1amo0
126,1004,play,2024-03-02 14:54:46,desktop,APAC,yu1vlk
103,1007,play,2024-03-02 22:29:40,mobile,US,2olayg
122,1009,play,2024-03-02 08:20:35,desktop,US,q9pbz3
174,1003,pause,2024-03-02 02:19:29,desktop,APAC,nb8kfe
106,1007,skip,2024-03-03 15:48:31,mobile,EU,xe9w1u
177,1006,play,2024-03-03 02:32:17,mobile,APAC,98smmz
109,1007,play,2024-03-03 13:21:20,desktop,US,z31gig
160,1000,skip,2024-03-03 04:19:32,tablet,US,agfab7
110,1009,pause,2024-03-03 23:57:54,desktop,US,r83zmm
178,1000,forward,2024-03-03 13:53:14,tablet,US,b4l3k2
136,1002,play,2024-03-03 11:29:06,mobile,EU,2lx17g
